City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
309,Rocha,UY,2021-04-10 00:49:05,-34.4833,-54.3333,291.26,93,100,1.44
310,Humboldt,US,2021-04-10 00:49:07,40.6665,-123.9178,282.59,81,90,5.66
311,Am Timan,TD,2021-04-10 00:49:08,11.0297,20.2827,302.31,11,6,3.97
312,Kilindoni,TZ,2021-04-10 00:49:11,-7.9139,39.6668,300.26,77,23,6.46
313,Lavrentiya,RU,2021-04-10 00:49:13,65.5833,-171.0,255.23,86,100,3.14
314,Terracina,IT,2021-04-10 00:49:14,41.2863,13.2217,279.82,80,98,1.76
315,Abalak,RU,2021-04-10 00:49:16,58.1286,68.5944,274.21,99,100,1.96
316,Impfondo,CG,2021-04-10 00:49:18,1.6381,18.0667,295.37,87,100,1.4
317,Masinigudi,IN,2021-04-10 00:49:19,11.5667,76.6667,292.21,69,7,1.38
318,San Cristobal,VE,2021-04-10 00:49:21,7.7669,-72.225,299.15,83,40,2.06
319,Komsomolskiy,UZ,2021-04-10 00:49:22,40.4272,71.7189,283.15,53,0,4.12
320,Pocao De Pedras,BR,2021-04-10 00:49:25,-4.6667,-44.85,296.55,87,100,1.11
321,Thompson,CA,2021-04-10 00:49:26,55.7435,-97.8558,279.15,61,75,3.6
322,Brae,GB,2021-04-10 00:49:28,60.3964,-1.353,275.15,69,40,3.09
323,Acapulco,MX,2021-04-10 00:49:29,16.8634,-99.8901,301.15,65,75,3.6
324,Rorvik,NO,2021-04-10 00:49:30,64.8621,11.2373,275.39,56,100,4.27
325,Magadi,IN,2021-04-10 00:49:32,12.9667,77.2333,295.15,68,76,1.7
326,Nola,IT,2021-04-10 00:47:49,40.922,14.5329,279.26,74,98,0.75
327,Ixtapa,MX,2021-04-10 00:45:23,20.7,-105.2,299.15,73,1,4.12
328,Khandyga,RU,2021-04-10 00:49:35,62.6667,135.6,269.43,86,100,3.34
329,Shitanjing,CN,2021-04-10 00:49:37,39.2342,106.3439,283.24,66,74,2.71
330,Preston,GB,2021-04-10 00:49:38,53.7667,-2.7167,275.93,81,2,1.89
331,Neyshabur,IR,2021-04-10 00:49:41,36.2133,58.7958,289.88,28,22,1.31
332,Kozan,TR,2021-04-10 00:49:42,37.4552,35.8157,285.37,94,75,4.12
333,Helena,US,2021-04-10 00:47:04,46.5927,-112.0361,287.15,19,1,3.09
334,Pierre,US,2021-04-10 00:45:43,44.3683,-100.351,285.15,35,40,9.77
335,Severodvinsk,RU,2021-04-10 00:49:46,64.5635,39.8302,276.15,56,40,6.0
336,Swan Hill,AU,2021-04-10 00:49:47,-35.3378,143.5544,289.98,52,100,6.04
337,Buala,SB,2021-04-10 00:49:49,-8.145,159.5921,300.55,81,100,4.09
338,Hargeysa,SO,2021-04-10 00:49:50,9.56,44.065,292.86,40,0,5.94
339,Canete,CL,2021-04-10 00:49:52,-37.8,-73.4,283.89,87,91,2.53
340,Sechura,PE,2021-04-10 00:49:53,-5.5569,-80.8222,296.78,69,86,6.85
341,Abay,KZ,2021-04-10 00:49:54,49.6311,72.8539,273.15,93,40,2.0
342,Lamu,KE,2021-04-10 00:49:56,-2.2717,40.902,301.15,83,1,2.06
343,Birao,CF,2021-04-10 00:49:57,10.2849,22.7882,297.98,7,100,2.16
344,Lebu,CL,2021-04-10 00:47:23,-37.6167,-73.65,285.65,82,100,6.93
345,Boyolangu,ID,2021-04-10 00:50:00,-8.1181,111.8935,300.14,81,56,0.45
346,Wuwei,CN,2021-04-10 00:50:01,37.9281,102.6414,282.43,64,100,0.91
